date,event_type,label,forecast_requests_mean,forecast_requests_p10,forecast_requests_p90
2026-02-03,LAUNCH,Released Retrieval v2 for enterprise search,,,
2026-02-10,CAMPAIGN,Partner webinar drove Finance adoption spike,,,
2026-03-05,PRICING,Pricing update: reduced overage penalties,,,
2026-03-21,INCIDENT,Latency incident: vector DB throttling (credits issued),,,
2026-04-01,FORECAST_POINT,,5233948.0,4605874.0,5862021.0
2026-04-01,FORECAST_START,Forecast starts (shaded band from here),5233948.0,4605874.0,5862021.0
2026-04-08,FORECAST_POINT,,5309840.0,4628410.0,5991269.0
2026-04-15,FORECAST_POINT,,5386832.0,4650632.0,6123033.0
2026-04-22,FORECAST_POINT,,5464942.0,4672525.0,6257358.0
2026-04-29,FORECAST_POINT,,5544183.0,4694075.0,6394291.0
2026-05-06,FORECAST_POINT,,5624574.0,4715268.0,6533880.0
2026-05-12,CAMPAIGN,Conference week: Retail and SaaS leads surged,,,
2026-05-13,FORECAST_POINT,,5706130.0,4736088.0,6676172.0
2026-05-20,FORECAST_POINT,,5788869.0,4756521.0,6821217.0
2026-05-27,FORECAST_POINT,,5872808.0,4776550.0,6969065.0
2026-06-03,FORECAST_POINT,,5957963.0,4796160.0,7119766.0
2026-06-08,LAUNCH,Capacity upgrade: lowered latency and throttling,,,
2026-06-10,FORECAST_POINT,,6044354.0,4815335.0,7273372.0
2026-06-17,FORECAST_POINT,,6131997.0,4834058.0,7429936.0
2026-06-24,FORECAST_POINT,,6220911.0,4852311.0,7589511.0
